2026-04-24 19:40:34,725 [INFO] Detection started. Press 'q' to quit.
2026-04-24 19:40:37,707 [INFO] Frame 00057 | Face @ (244,266) size=201x201 | Eyes detected: 0
2026-04-24 19:40:37,755 [INFO] Frame 00058 | Face @ (244,266) size=201x201 | Eyes detected: 0
2026-04-24 19:40:37,782 [INFO] Frame 00059 | Face @ (245,254) size=201x201 | Eyes detected: 1
2026-04-24 19:40:37,819 [INFO] Frame 00060 | Face @ (245,254) size=201x201 | Eyes detected: 1
2026-04-24 19:40:37,849 [INFO] Frame 00061 | Face @ (245,233) size=210x210 | Eyes detected: 0
2026-04-24 19:40:37,874 [INFO] Frame 00062 | Face @ (245,233) size=210x210 | Eyes detected: 0
2026-04-24 19:40:37,919 [INFO] Frame 00063 | Face @ (249,211) size=213x213 | Eyes detected: 0
2026-04-24 19:40:37,953 [INFO] Frame 00064 | Face @ (249,211) size=213x213 | Eyes detected: 0
2026-04-24 19:40:37,988 [INFO] Frame 00065 | Face @ (250,188) size=215x215 | Eyes detected: 0
2026-04-24 19:40:38,022 [INFO] Frame 00066 | Face @ (250,188) size=215x215 | Eyes detected: 0
2026-04-24 19:40:38,057 [INFO] Frame 00067 | Face @ (251,177) size=215x215 | Eyes detected: 1
2026-04-24 19:40:38,096 [INFO] Frame 00068 | Face @ (251,177) size=215x215 | Eyes detected: 1
2026-04-24 19:40:38,125 [INFO] Frame 00069 | Face @ (254,169) size=218x218 | Eyes detected: 1
2026-04-24 19:40:38,158 [INFO] Frame 00070 | Face @ (254,169) size=218x218 | Eyes detected: 1
2026-04-24 19:40:38,191 [INFO] Frame 00071 | Face @ (257,174) size=221x221 | Eyes detected: 1
2026-04-24 19:40:38,224 [INFO] Frame 00072 | Face @ (257,174) size=221x221 | Eyes detected: 1
2026-04-24 19:40:38,251 [INFO] Frame 00073 | Face @ (263,184) size=214x214 | Eyes detected: 1
2026-04-24 19:40:38,291 [INFO] Frame 00074 | Face @ (263,184) size=214x214 | Eyes detected: 1
2026-04-24 19:40:38,357 [INFO] Frame 00075 | Face @ (261,177) size=225x225 | Eyes detected: 1
2026-04-24 19:40:38,398 [INFO] Frame 00076 | Face @ (261,177) size=225x225 | Eyes detected: 1
2026-04-24 19:40:38,425 [INFO] Frame 00077 | Face @ (266,174) size=224x224 | Eyes detected: 1
2026-04-24 19:40:38,502 [INFO] Frame 00078 | Face @ (264,172) size=226x226 | Eyes detected: 1
2026-04-24 19:40:38,549 [INFO] Frame 00079 | Face @ (264,172) size=226x226 | Eyes detected: 1
2026-04-24 19:40:38,591 [INFO] Frame 00080 | Face @ (261,173) size=228x228 | Eyes detected: 1
2026-04-24 19:40:38,624 [INFO] Frame 00081 | Face @ (261,173) size=228x228 | Eyes detected: 1
2026-04-24 19:40:38,660 [INFO] Frame 00082 | Face @ (261,177) size=226x226 | Eyes detected: 1
2026-04-24 19:40:38,682 [INFO] Frame 00083 | Face @ (261,177) size=226x226 | Eyes detected: 1
2026-04-24 19:40:38,725 [INFO] Frame 00084 | Face @ (262,181) size=220x220 | Eyes detected: 0
2026-04-24 19:40:38,759 [INFO] Frame 00085 | Face @ (262,181) size=220x220 | Eyes detected: 0
2026-04-24 19:40:38,801 [INFO] Frame 00086 | Face @ (262,187) size=222x222 | Eyes detected: 0
2026-04-24 19:40:38,830 [INFO] Frame 00087 | Face @ (262,187) size=222x222 | Eyes detected: 0
2026-04-24 19:40:38,860 [INFO] Frame 00088 | Face @ (259,199) size=220x220 | Eyes detected: 0
2026-04-24 19:40:38,893 [INFO] Frame 00089 | Face @ (259,199) size=220x220 | Eyes detected: 0
2026-04-24 19:40:38,925 [INFO] Frame 00090 | Face @ (247,202) size=221x221 | Eyes detected: 0
2026-04-24 19:40:38,954 [INFO] Frame 00091 | Face @ (247,202) size=221x221 | Eyes detected: 0
2026-04-24 19:40:38,990 [INFO] Frame 00092 | Face @ (244,201) size=223x223 | Eyes detected: 1
2026-04-24 19:40:39,032 [INFO] Frame 00093 | Face @ (244,201) size=223x223 | Eyes detected: 1
2026-04-24 19:40:39,074 [INFO] Frame 00094 | Face @ (247,210) size=219x219 | Eyes detected: 0
2026-04-24 19:40:39,110 [INFO] Frame 00095 | Face @ (247,210) size=219x219 | Eyes detected: 0
2026-04-24 19:40:39,141 [INFO] Frame 00096 | Face @ (243,219) size=223x223 | Eyes detected: 0
2026-04-24 19:40:39,175 [INFO] Frame 00097 | Face @ (243,219) size=223x223 | Eyes detected: 0
